,genome_name,source,species,resistance_profile,ST,location
SRR3404582,SRR3404582,Patient,B. pseudomallei,"Resistant to SXT; Not determined: CAZ, AMC, MEM",,
SRR3404597,SRR3404597,Patient,B. pseudomallei,"Resistant to SXT; Not determined: CAZ, AMC, MEM",,
SRR3404599,SRR3404599,Patient,B. pseudomallei,"Resistant to SXT; Not determined: CAZ, AMC, MEM",,
SRR5927082,MSHR0664,Patient,B. pseudomallei,"Susceptible to MEM, SXT, AMC, IPM; Not determined: ",a,Australia
SRR6075123,MSHR8481,Patient,B. pseudomallei,"Resistant to MEM; Susceptible to SXT, AMC, IPM",a,Australia
SRR6075124,MSHR9039,Patient,B. pseudomallei,"Susceptible to MEM, SXT; Not determined: AMC, IPM",,
SRR6075125,MSHR8544,Patient,B. pseudomallei,"Susceptible to MEM, SXT, AMC; Not determined: IPM",a,Australia
SRR6075127,MSHR9021,Patient,B. pseudomallei,"Resistant to MEM; Susceptible to SXT, IPM; Not determined: AMC",,
SRR27387687,EPAC065,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",1051,Thailand:Amnat Charoen
SRR27387688,EPAC055,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",206,Thailand:Amnat Charoen
SRR27387689,EPAC053,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",54,Thailand:Amnat Charoen
SRR27387690,EPAC050,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",512,Thailand:Amnat Charoen
SRR27387691,EPAC049,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",163,Thailand:Amnat Charoen
SRR27387692,EPAC048,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",Novel ST,Thailand:Amnat Charoen
SRR27387694,EPAC039,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",70,Thailand:Amnat Charoen
SRR27387695,EPAC038,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",70,Thailand:Amnat Charoen
SRR27387696,EPAC037,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",Novel ST,Thailand:Amnat Charoen
SRR27387697,EPAC036,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",70,Thailand:Amnat Charoen
SRR27387699,EPAC032,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",Novel ST,Thailand:Amnat Charoen
SRR27387701,EPAC023,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",Novel ST,Thailand:Amnat Charoen
SRR27387702,EPAC021,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",178,Thailand:Amnat Charoen
SRR27387705,EPAC013,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",17,Thailand:Amnat Charoen
SRR27387706,EPAC006,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",512,Thailand:Amnat Charoen
SRR27387708,EPAC004,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",70,Thailand:Amnat Charoen
SRR27387751,EPNK119,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",392,Thailand:Nong Khai
SRR27387752,EPNK115,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",10,Thailand:Nong Khai
SRR27387753,EPNK113,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",519,Thailand:Nong Khai
SRR27387754,EPNK108,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",306,Thailand:Nong Khai
SRR27387755,EPNK107,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",176,Thailand:Nong Khai
SRR27387756,EPNK103,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",70,Thailand:Nong Khai
SRR27387758,EPNK099,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",376,Thailand:Nong Khai
SRR27387759,EPNK096,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",Novel ST,Thailand:Nong Khai
SRR27387760,EPNK093,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",167,Thailand:Nong Khai
SRR27387761,EPNK090,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",1534,Thailand:Nong Khai
SRR27387762,EPNK087,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",884,Thailand:Nong Khai
SRR27387763,EPNK085,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",16,Thailand:Nong Khai
SRR27387764,EPNK082,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",10,Thailand:Nong Khai
SRR27387765,EPNK077,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",167,Thailand:Nong Khai
SRR27387766,EPNK076,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",54,Thailand:Nong Khai
SRR27387767,EPNK073,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",70,Thailand:Nong Khai
SRR27387769,EPNK068,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",389,Thailand:Nong Khai
SRR27387770,EPNK064,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",1465,Thailand:Nong Khai
SRR27387771,EPNK061,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",10,Thailand:Nong Khai
SRR27387772,EPNK057,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",10,Thailand:Nong Khai
SRR27387773,EPNK056,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",874,Thailand:Nong Khai
SRR27387774,EPNK055,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",58,Thailand:Nong Khai
SRR27387775,EPNK052,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",1827,Thailand:Nong Khai
SRR27387776,EPNK049,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",306,Thailand:Nong Khai
SRR27387777,EPNK047,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",511,Thailand:Nong Khai
SRR27387778,EPNK046,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",167,Thailand:Nong Khai
SRR27387780,EPNK044,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",10,Thailand:Nong Khai
SRR27387781,EPNK039,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",99,Thailand:Nong Khai
SRR27387782,EPNK038,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",511,Thailand:Nong Khai
SRR27387786,EPCP163,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",1421,Thailand:Chaiyaphum
SRR27387811,EPBR064,Patient,B. pseudomallei,"Resistant to AMC, SXT; Susceptible to CAZ; Not determined: IPM",93,Thailand:Buri Ram
SRR27387814,EPBR048,Patient,B. pseudomallei,"Resistant to AMC, SXT; Susceptible to CAZ; Not determined: IPM",93,Thailand:Buri Ram
SRR27387815,SH111,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",54,Thailand:Khon Kaen
SRR27387816,SH110,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",1397,Thailand:Khon Kaen
SRR27387817,SH109,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",Novel ST,Thailand:Khon Kaen
SRR27387819,SH108,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",365,Thailand:Khon Kaen
SRR27387820,SH107,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
SRR27387821,SH106,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",10,Thailand:Khon Kaen
SRR27387822,SH105,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR27387823,SH104,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",Novel ST,Thailand:Khon Kaen
SRR27387824,SH103,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",54,Thailand:Khon Kaen
SRR27387825,SH102,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",46,Thailand:Khon Kaen
SRR27387826,SH101,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",46,Thailand:Khon Kaen
SRR27387827,SH100,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",Novel ST,Thailand:Khon Kaen
SRR27387828,SH099,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",46,Thailand:Khon Kaen
SRR27387830,SH098,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",46,Thailand:Khon Kaen
SRR27387831,SH097,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",23,Thailand:Khon Kaen
SRR27387832,SH096,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",52,Thailand:Khon Kaen
